ids,en,de
766,This is the edifying net result of the policy of repression .,So sieht die höchst erbauliche Bilanz der Repressionspolitik aus .
767,But yet I do not propose to counter the dogma of unprincipled repression with a dogma of liberalization lacking in any public health objectives .,"Gleichwohl schlage ich nicht vor , dem Dogma der sinnlosen Bestrafung das gegengleiche Dogma einer Freigabe ohne gesundheitspolitische Ziele entgegenzusetzen ."
768,"This is a simple , clear and understandable policy .","So sieht eine einfache , klare , verständliche Politik aus ."
769,"As long as we fail to courageously advance along this path , crime will continue to prosper from individual tragedies .","Solange wir diesen Weg nicht mutig beschreiten , wird das Verbrechen weiterhin blühen und zu vielen Einzeltragödien führen ."
770,"Mr President , we have now almost finalized the drugs prevention programme .",Herr Präsident ! Wir nähern uns der Verabschiedung des Drogen-Präventionsprogramms .
771,The common position contains a considerable number of qualitative improvements introduced as a result of amendments proposed by Parliament .,"Der gemeinsame Standpunkt enthält eine nicht unbeträchtliche Anzahl von Verbesserungen , die aufgrund von Änderungsanträgen des Europäischen Parlaments vorgenommen wurden . Damit hat er an Qualität gewonnen ."
772,"It will be easier to allocate funding now that specific projects are planned , which will help both the Commission and the Member States .","Die Bereitstellung von Mitteln dürfte dadurch leichter werden , da konkrete Maßnahmen genannt werden . Somit ist sowohl der Kommission als auch den Mitgliedstaaten geholfen ."
773,"But this is playing into the hands of the drugs dealers , who are indirectly responsible for the destruction of their fellow men .",Diese Haltung spielt Drogenhändlern in die Karten . Diese Händler haben indirekt die Zerstörung ihrer Mitmenschen auf dem Gewissen .
774,"We reject on principle the acceptance of harm-reduction as a basic approach and addiction as a social phenomenon , since these undermine the very justification for providing assistance .","Eine Grundeinstellung im Sinne der "" harm reduction "" sowie die Akzeptanz der Drogenabhängigkeit als gesellschaftliche Erscheinung lehnen wir grundsätzlich ab . Mit dieser Haltung beraubt man sich selbst jeder Legitimation zur Hilfeleistung ."
775,I therefore also oppose the amendments which aim to have harm-reduction adopted as a strategy .,"Deshalb bin ich auch gegen die Änderungsanträge , die ausdrücklich auf diese Schadensbegrenzungsstrategie abstellen ."
776,Persuading addicts to kick their drugs habit is a very delicate issue and cannot be governed by any general European strategy .,"Entziehungsmaßnahmen sind eine heikle Angelegenheit , für die es keine allgemeine europäische Strategie geben darf ."
777,"It is also a curative rather than a preventive measure , and this is not what this action programme is about .","Außerdem sind sie keine präventive , sondern eine kurative Vorgehensweise , und darum geht es bei diesem Aktionsprogramm gar nicht ."
778,"To sum up , I support the common position , but I shall be voting against the Burtone recommendation .","Schlußfolgerung : Ich bin einverstanden mit dem gemeinsamen Standpunkt , werde jedoch gegen die Burtone-Empfehlung stimmen ."
779,"Mr President , ladies and gentlemen , I should first like to protest against the propaganda on the subject of the Burtone report , in the form of the tracts displayed in the corridors of Parliament .","Herr Präsident , liebe Kolleginnen und Kollegen ! Ich muß zunächst einmal gegen die Propaganda protestieren , die im Zusammenhang mit dem Bericht Burtone in Form von Flugblättern zum Ausdruck kommt , welche in den Gängen des Parlaments hängen ."
780,"I therefore request , as far as possible and in Parliament 's interest , the removal of these documents which are posted up all over the place .","Deswegen beantrage ich , daß im Interesse dieses Hohen Hauses diese Papiere , die überall kleben , möglichst vollständig entfernt werden ."
781,Now for the real subject of discussion .,Nun zum Thema .
782,Repression is clearly in many cases the best form of prevention .,"Ich erkenne ferner , was im Bericht eher unterschwellig , in manchen Änderungsanträgen - vor allem Nr ."
783,"I also observe , as is almost implicit in the report , and extremely explicit in certain amendments - Amendments Nos 2 and 3 in particular - that a spirit of capitulation lies behind this combat against drugs .","2 und Nr . 3 - aber sehr deutlich zum Ausdruck kommt , daß nämlich diese Drogenbekämpfung von einem Geist der Kapitulation durchzogen ist , was völlig unhaltbar ist ."
784,This is totally unacceptable .,Ich denke da vor allem an Änderungsantrag Nr .
785,I am thinking in particular of Amendment No 2 which says that a completely drug-free society is a Utopian vision and Amendment No 3 which says that the goal should be to limit the adverse effects of drug consumption .,"2 , in dem es heißt , eine völlig drogenfreie Gesellschaft sei utopisch , und an Nr . 3 , in dem davon die Rede ist , daß Schadensbegrenzung praktiziert werden muß ."
786,And I did indeed say ' limit ' .,"Ich sagte wohlgemerkt "" Begrenzung "" ."
787,"I should like to take an example in the field of economic sciences , namely inflation .","Ich möchte ein Beispiel aus dem Bereich der Wirtschaftswissenschaften zitieren , und zwar die Inflation ."
788,"Under the pretext that zero inflation is virtually inachievable in a period of economic growth , some economists have always believed that the official policy should be one of low inflation .","Unter dem Vorwand , eine Nullinflation sei bei Wirtschaftswachstum fast unmöglich zu erreichen , traten bestimmte Wirtschaftswissenschaftler stets dafür ein , eine Politik der geringen Inflation zur amtlichen Politik zu erklären ."
789,"In a sense this is exactly what we are trying to do in the field of drugs by saying that , because we cannot totally eradicate them , we should make the official policy that of damage limitation .","Genau dasselbe versucht man in gewisser Weise nun im Drogenbereich zu tun , wenn man sagt , man könne die Drogen ohnehin nicht ganz abschaffen , und es müsse nun eine amtliche Politik der Schadensbegrenzung her ."
790,"As in the case of inflation , and for evident psychological reasons , I believe this to be a mistake .",Ich halte dies aus offensichtlichen psychologischen Gründen genau wie bei der Inflation für einen Fehler .
791,Today it has been made very clear to us that if we want to effectively combat inflation our goal must be zero inflation .,"Heute weiß man genau , daß man zur Inflationsbekämpfung das 0 % -Ziel ins Auge fassen muß ."
792,The situation is very similar when we come to drugs .,"Nun , bei den Drogen ist es fast dasselbe ."
793,We must clearly affirm our commitment to combatting them .,"Wir müssen also unsere Absicht bekräftigen , die Drogen zu bekämpfen ."
794,"Another mistake is the way Amendment No 4 , for example , suggests that drug addicts are simply people with a health problem .","Ein weiterer Fehler : Änderungsantrag Nr . 4 z.B. weist darauf hin , daß Drogenabhängige lediglich ein Gesundheitsproblem haben ."
795,"This is not true : there is indeed a health problem , but also a moral problem and we should not forget this .","Das stimmt nicht , denn zwar liegt da ein Gesundheitsproblem vor , aber auch ein moralisches Problem , das man nicht außer acht lassen darf ."
796,"Sophocles wrote , 2 , 400 years ago in Antigone , that the man of knowledge knows how to freely choose between good and evil .","Schon vor 2400 Jahren schrieb Sophokles in "" Antigone "" , der Weise wisse sich frei zwischen dem Guten und dem Bösen zu entscheiden ."
797,I do not in fact believe we will be helping drug addicts by presenting the whole problem as exclusively a health problem and exempting drug addicts from all responsibility .,"Wenn man das Problem vollkommen auf die Medizin reduziert und die Drogenabhängigen von ihrer Verantwortung losspricht , dann glaube ich nicht , daß man ihnen damit hilft ."
798,"On the contrary , I believe this would be presenting them with an additional obstacle when seeking to escape from drugs .","Ich glaube im Gegenteil , daß dies für sie ein zusätzliches Hindernis darstellt , wenn sie davon wegkommen wollen ."
799,"Consequently , I believe it is a basic philosophical error to believe that you can dispense with repression in this area .","Daher halte ich es für einen philosophischen Grundirrtum , zu meinen , es ginge in diesem Bereich auch ohne Druck ."
800,"The human mind is not entirely rational , as we now know thanks to the work of phrenologists such as Mac Lean , and collective repression is absolutely essential .","Das menschliche Gehirn denkt nicht vollkommen rational , das weiß man heute dank den Arbeiten von Phrenologen wie MacLean , und kollektiver Druck erweist sich als absolut unerläßlich ."
801,It serves no purpose to spend large sums of money if you lack the moral courage .,"Deswegen ist es sinnlos , Geld auszugeben , wenn man diesen moralischen Mut nicht hat ."
802,Drugs are spreading because this society is ethically decadent .,"Wenn das Drogenproblem ausufert , dann liegt das daran , daß diese Gesellschaft in ethischer Hinsicht dekadent ist ."
803,We are doomed to failure if we refuse to recognize the moral dimension and only consider the health and sociological aspects .,"Die moralische Dimension abzulehnen und nur die gesundheitlichen und soziologischen Aspekte dieses Dramas sehen zu wollen heißt , sich selbst zum Scheitern zu verurteilen ."
804,"This is not helping the drug addicts , it is hypocritically allowing the traffickers to go about their business .","So erweist man den Drogenabhängigen keinen Dienst , sondern läßt die Dealer heuchlerisch weitermachen ."
805,What do the traffickers want ?,Und was wollen die Dealer ?
806,They want the present situation to continue .,"Sie wollen , daß die derzeitige Situation fortbesteht ."
807,You have been very courageous Mr Burtone .,"Herr Burtone , Sie sind sehr mutig gewesen ."
808,"You have , through your group , encountered many obstacles .",Sie sind in Ihrer Fraktion auf zahlreiche Hindernisse gestoßen .
809,I have been well aware that you had to steer a course between the two extremes .,"Ich habe durchaus gemerkt , daß Sie einen Weg zwischen zwei Extremen finden mußten ."
810,It is essential to speak of risk prevention .,"Von Prävention zu sprechen , ist ganz wesentlich ."
811,But it is not enough .,Es genügt aber nicht .
812,"Because here , which is the place to do so and where we can benefit from the experience of others , we must finally acknowledge that we are not making any progress and are in fact regressing .","Denn schließlich müssen wir uns hier , wo der Ort dafür ist , wo wir endlich die Erfahrung der anderen nutzen können , eingestehen , daß wir nicht vorankommen bzw. daß wir sogar Rückschritte machen ."
813,The Lisbon Observatory provides us with the tragic figures .,Das Lissaboner Observatorium liefert uns tragische Zahlen .
814,"Of course there have been arrests and of course drugs have been seized , but drugs are continuing to enter Europe in ever larger quantities every year .","Natürlich gab es Verhaftungen , natürlich kommt es zu Festnahmen , aber jedes Jahr dringen mehr Drogen auf unser Territorium vor ."
815,The least we can say without making a moral judgment is that the repressive policy is not working .,"Das Mindeste , was sich ohne moralische Wertung sagen läßt , ist , daß die Politik der Bestrafung nicht funktioniert ."
816,"But that does not mean I favour simply opening up the gates , quite the contrary .",Deswegen bin ich allerdings selbstverständlich nicht für eine Öffnung der Schleusen .
817,"However , I do not believe you are going to get very far by giving equally short shrift to those who want to liberalize and those who simply want to repress .","Wenn Sie aber einerseits diejenigen , die Drogen freigeben wollen , und andererseits diejenigen , die nur für Bestrafung sind , gleichermaßen ablehnen , dann gehen Sie , glaube ich , nicht weit genug ."
818,"I greatly admire your courage and this report , but it is not enough .","Ich schätze Ihren Mut und diesen Bericht sehr , aber das genügt nicht ."
819,Let us be quite clear : there is racism in drugs .,Sagen wir es einmal deutlich : Es gibt einen Drogenrassismus .
820,"When I hear of the tragic effects of soft drugs , I think of alcohol and tobacco .","Wenn ich höre , daß die Schäden , die weiche Drogen anrichten , tragisch sind , dann fallen mir Alkohol und Rauchen ein ."
821,For these are our drugs .,"Das sind , verzeihen Sie , unsere Drogen ."
822,Tobacco leads to a dependence estimated at 25 or 35 % .,"Das Rauchen führt zu einer Abhängigkeit , die auf 25 oder 35 % beziffert wird ."
823,And what do you do about that ?,Was fangen Sie damit an ?
824,But then it 's the State which sells it .,Tabak wird doch vom Staat verkauft .
825,"I am speaking from the public health point of view , if you like , but also from a moral and political point of view .","Ich spreche aus gesundheitspolitischer Sicht , wenn man so will , und dann auch aus moralischer und politischer Sicht ."
826,It is tobacco and alcohol which cause most damage in terms of public health .,Auf die Volksgesundheit bezogen richten Alkohol und Rauchen die größten Schäden an .
827,Let us remember this and not demonize other people 's drugs .,Dies sollten wir bedenken und nicht die Drogen der anderen verteufeln !
828,We too have our drugs .,Wir haben ja selber welche .
829,What is needed is an economic approach .,Inhaltlich gesehen ist ein wirtschaftlicher Ansatz dringend vonnöten .
830,"We must have the courage to say that we must control , and not simply decriminalize drug use .","Wir müssen den Mut aufbringen , zu fordern , daß der Drogenkonsum nicht nur straffrei werden muß , sondern auch eine Reglementierung braucht ."
831,"Just as if you have drunk too much you are not allowed to drive , so if you smoke too much you will not be allowed to drive .","Ebenso wie man dann , wenn man zuviel getrunken hat , nicht mehr fahren darf , sollte man auch dann , wenn man zuviel geraucht hat , nicht mehr fahren dürfen ."
832,"But when you consider that , in my country in particular , there are five million cannabis users , I wonder how we are going to manage to lock them all up .","Bedenkt man aber , daß es allein in meinem Land fünf Millionen Haschischraucher gibt , dann frage ich mich , wie man diese alle ins Gefängnis stecken soll ."
833,Here in Parliament we have the obligation to discuss this matter a great deal more .,Wir müssen in diesem Hohen Hause viel mehr miteinander reden .
834,We clash with the experience of others rather than listening to it .,"Wir nehmen Anstoß an der Erfahrung anderer , anstatt ihnen zuzuhören ."
835,"We should therefore discuss more among ourselves and benefit from national experiences , both negative and positive .",Deswegen müssen wir mehr miteinander reden und die negativen wie positiven Erfahrungen der einzelnen Länder nutzen .
836,"I believe that this will be progress and that this conference which you mention and which we all want to see , in 1996 , will be a step in the right direction .","Ich glaube , dies wird Fortschritte bringen , und die Konferenz 1996 , von der Sie sprechen und die wir uns dringend wünschen , scheint mir ein gutes Zwischenziel zu sein ."
837,"Finally , we must not demonize any experience or initiative , whether negative or positive .",Schließlich sollten wir keine der negativen oder positiven Erfahrungen oder Versuche verteufeln .
838,"Mr President , drugs are a scourge which destroy our families and kill our young people .","Herr Präsident ! Die Drogen sind ein Fluch , der unsere Familien zerstört und unsere Jugendlichen tötet ."
839,For very many years already the European Parliament has concentrated on three courses of action in combatting this tragedy .,"Um etwas gegen diese Katastrophe zu tun , konzentriert sich das Europäische Parlament schon seit sehr vielen Jahren auf dreierlei Maßnahmen ."
840,"Firstly , preventing drug addiction , secondly , combatting drug trafficking and the related crime and , thirdly , helping drug addicts to get well again .","Das erste ist die Verhütung der Drogenabhängigkeit , das zweite die Bekämpfung des Drogenhandels und der damit verbundenen Kriminalität und das dritte die Unterstützung der Drogenabhängigen bei der Befreiung von dieser Krankheit ."
841,Today we are interested in the first of these courses of action .,Heute interessiert uns der erste Teil dieser Maßnahmen .
842,In my eyes this is the most important .,Er ist in meinen Augen auch der wichtigste .
843,"Because if drugs lose their attraction for young people , if young people believe that all drugs and stimulants are a threat to the freedom of the individual , the drugs traffic will automatically decline .","Denn wenn Drogen für die Jugendlichen nicht mehr so interessant sind , wenn die Jugendlichen erst alle Drogen und Stimulanzien als Bedrohung der Freiheit des einzelnen betrachten , dann wird der Drogenhandel automatisch abnehmen ."
844,"Finally , let us remember one important principle : programmes undertaken with young people are often far more effective than those undertaken for young people .","Und letztlich sollten wir einen großen Grundsatz nicht vergessen : Oft sind Programme , die mit den Jugendlichen gemacht werden , viel wirkungsvoller als jene , die für die Jugendlichen gemacht werden ."
845,I believe that creating a sense of responsibility among those primarily concerned and ensuring their active participation must be a golden rule in preventing drug addiction .,Den unmittelbar Betroffenen Verantwortung zu übertragen und sie einzubinden scheint mir in der Drogenprävention eine goldene Regel zu sein .
846,"Mr President , ladies and gentlemen , I congratulate Mr Burtone for the efforts he has made , particularly of late , to tackle the problem with greater clarity but also greater realism .","Herr Präsident , sehr geehrte Kolleginnen und Kollegen , ich danke Herrn Burtone für seine Bemühungen , vor allem in der letzten Zeit , diesem Problem mit mehr Klarheit , aber vor allem mit mehr Realismus zu begegnen ."
847,That then is the reality .,"So sieht die Wirklichkeit aus , und darum muß der Ansatz radikal geändert werden ."
848,"We need then radically to change our approach and we must do this all together , to start with by discussing among ourselves the results so far of prohibition and criminalization .","Das müssen wir alle gemeinsam tun , zunächst einmal dadurch , daß wir uns untereinander darüber unterhalten , was Prohibitionismus und Repression bislang zustande gebracht haben . Deswegen ist Nr ."
849,That is why the most important amendment is Amendment No 32 which calls for a conference to be held to discuss scientifically the disastrous results of prohibition and for the international conventions of the United Nations to be revised .,"32 der wichtigste Änderungsantrag , denn darin wird eine Konferenz gefordert , auf der die verheerenden Folgen des Prohibitionismus wissenschaftlich untersucht werden , sowie eine Überarbeitung der internationalen Konventionen der Vereinten Nationen ."
850,"Mr President , Mr Burtone has done some wonderful work and he is obviously very concerned about drugs but at the same time I would like to say that I do not share all his views .","Herr Präsident ! Herr Burtone hat eine große Arbeit geleistet , und er bringt offenbar ein großes Engagement gegen Drogen mit ."
851,"Like most Swedish politicians , my party in Sweden , the Centre Party , can certainly not support the thesis that a drugs-free society is an unattainable utopia .","Meine Partei in Schweden , die Zentrumspartei , kann sich wie die meisten schwedischen Politiker nicht damit einverstanden erklären , daß eine Gesellschaft ohne Drogen eine unerreichbare Utopie sein soll ."
852,It is completely mistaken to regard a restrictive policy on all drugs as the antithesis of a policy to reduce suffering and the harmful effects of drug abuse .,"Es ist völlig falsch , eine restriktive Politik gegen jede Art von Drogen als Gegensatz einer Politik darzustellen , welche das Leiden lindert und die Schäden des Drogenmißbrauchs begrenzt ."
853,"However , the European Parliament 's proposal will have no effect on Swedish laws and regulations , dealing as it does with recommendations for a programme of measures .","Die Vorschläge des Europäischen Parlaments haben allerdings keinen Einfluß auf schwedische Gesetze und Verordnungen , sondern sind Empfehlungen eines Maßnahmeprogramms ."
854,"Unfortunately , however , this type of decision helps to undermine the legitimacy of the European Parliament and the confidence of the people of Europe in it .","Allerdings tragen diese Art Beschlüsse leider dazu bei , die Legitimität des Europäischen Parlaments und das Vertrauen der europäischen Bürger zu untergraben ."
855,This is an unfortunate consequence of today 's debate .,Dies ist eine unglückliche Folge der heutigen Diskussion .
856,This debate has also strengthened still further my conviction that the area of criminal law should remain a purely national concern for the Member States .,"Diese Debatte läßt mich auch noch mehr zu der Überzeugung gelangen , daß der Bereich des Strafrechts eine vollständig nationale Angelegenheit der Mitgliedsländer bleiben muß ."
857,"Mr President , Mr Burtone 's report contains a number of different parts .",Herr Präsident ! Der Bericht Burtone enthält mehrere verschiedene Teile .
858,"There are parts that I support , such as the importance that is attached to preventive work and the need for proper care and rehabilitation to help drug addicts give up their abuse .","Er enthält Teile , die ich unterstütze , z.B. die über die Bedeutung vorbeugender Maßnahmen , guter Vorsorge und Rehabilitierung , um den Drogenabhängigen zu helfen , ihrem Mißbrauch zu entkommen ."
859,"There are also parts of the report , however , that are not at all acceptable .","Der Bericht enthält aber auch Teile , die überhaupt nicht akzeptabel sind ."
860,It contains a number of more liberal formulations where the policy of what is called ' harm reduction ' is concerned .,"Es gibt eine Reihe von drogenliberalen Formulierungen , die darauf hinauslaufen , die Schäden zu begrenzen , es ist von sogen ."
861,"This is a philosophy which is aimed at reducing the damage done by abuse , not at combating and putting an end to it .",""" harm reduction "" die Rede . Diese Philosophie baut auf der Schadensbegrenzung des Mißbrauchs auf - nicht auf seiner Bekämpfung und Beendigung ."
862,The report also contains demands for a supranational drugs policy and for a review of existing international conventions .,Der Bericht enthält auch Forderungen nach einer überstaatlichen Drogenpolitik und einer Revision vorhandener internationaler Konventionen .
863,This is not acceptable .,Das ist nicht akzeptabel .
864,The UN 's drugs conventions should rather be strictly applied by the EU countries as one element in the battle against drugs .,"Im Gegenteil , die Drogenkonventionen der UN sollten statt dessen von den Ländern der EU strikt angewendet werden , als ein Schritt im Kampf gegen Drogen ."
865,The policy of certain EU countries in the field of drugs today in practice serves to sabotage international cooperation in the fight against drugs .,Die Politik bestimmter EU-Länder im Drogenbereich ist heute in der Praxis eine Sabotage der internationalen Zusammenarbeit gegen Drogen .
866,In the report the issue of drugs is treated as a health issue and dependency as an illness .,Der Bericht behandelt das Drogenproblem als eine Gesundheitsfrage und die Abhängigkeit als eine Krankheit .
867,"Drugs are , however , primarily a social and political issue .",Aber das Drogenproblem ist in höchstem Grad eine soziale und politische Frage .
868,"The reasons for drug abuse are social conditions , exclusion , unemployment and the lack of future prospects for young people .","Der Anlaß für Drogenmißbrauch ist die soziale Situation , das Ausgeschlossensein , Arbeitslosigkeit und Mangel an Zukunftsperspektiven für die Jungen ."
869,"The battle against unemployment , social injustice and segregation is thus an important part of the battle against drug abuse - the most important part .","Der Kampf gegen die Arbeitslosigkeit , die soziale Ungerechtigkeit und Segregation ist damit ein wichtiger Teil des Kampfes gegen den Drogenmißbrauch - der wichtigste Teil ."
870,A proper policy for a system of care and rehabilitation which works is also needed .,Auch für eine funktionsfähige Fürsorge und Rehabilitierung ist eine gute Politik erforderlich .
871,In this context it is also impossible for society to accept either trafficking in or the possession of drugs - they should be illegal .,"Dazu gehört auch , daß die Gesellschaft den Handel mit oder den Besitz von Drogen nicht akzeptieren kann - dies muß ungesetzlich sein ."
872,There should also be popular opposition to drugs and steadfast and consistent action on the part of the police and customs authorities .,Außerdem ist eine breite Ablehnung der Drogen durch die Bevölkerung und ein entschiedenes und konsequentes Handeln durch Polizei und Zoll erforderlich .
873,"This policy forms a single whole , all parts of which are needed .","Diese Politik gestaltet ein Ganzes , in dem alle Teile notwendig sind ."
874,"Mr President , as a socialist I regard the equal worth of all people as a central issue .","Herr Präsident , als Sozialist sehe ich den gleichen Wert aller Menschen als einen zentralen Punkt ."
875,I cannot accept that people should be lost to drug abuse .,"Ich kann nicht akzeptieren , daß Menschen durch Drogenmißbrauch untergehen ."
876,This is why I would like to see a consistent overall policy with a single goal : a drug-free society .,Deshalb fordere ich eine konsequente Ganzheitspolitik mit dem Ziel : eine drogenfreie Gesellschaft .
877,"Mr President , it is customary to congratulate a rapporteur .","Herr Präsident ! Es ist Brauch , einen Berichterstatter zu beglückwünschen ."
878,This report goes against prevailing opinions and the blindness which make a situation which is in itself extremely worrying worse by the day .,"Dieser Bericht läuft dem allgemein vorherrschenden Denken und der Verblendung zuwider , die täglich eine Situation verschärfen , welche schon von vornherein außerordentlich besorgniserregend ist ."
879,So today we are concerned with the question of prevention .,Deswegen geht es heute um Prävention .
880,"This prevention must clearly be applied to hard drugs in particular , concentrating on intravenous drugs .","Diese Prävention muß natürlich ganz besonders im Hinblick auf die harten Drogen mit besonderer Betonung solcher Drogen durchgeführt werden , die in die Venen gespritzt werden ."
881,"It must also be implemented at various levels : the family , schools , universities , associations , municipalities and workshops .","Und sie muß auf verschiedenen Ebenen stattfinden : in der Familie , den Schulen , den Universitäten , den Verbänden , den Gemeinden und den Werkstätten ."
882,All of these elements must be appraised .,All dies muß einer Bewertung unterzogen werden .
883,"In this respect , holding a conference which would call into question the position of the international community would be very welcome .","Zu diesem Zweck wäre es außerordentlich sinnvoll , eine Konferenz einzuberufen , deren Ergebnis die Hinterfragung der Haltung der internationalen Gemeinschaft sein könnte ."
884,"Mr President , this is one of the absolutely most important issues in Europe and the international community as a whole .",Herr Präsident ! Bei diesem Problem handelt es sich um eine der absolut wichtigsten Fragen in Europa und der gesamten Weltgemeinschaft .
885,It is a matter of how we can best and most effectively tackle the scourge of drugs .,"Es geht darum , wie wir am besten und effektivsten die Drogenplage bekämpfen können ."
886,"This is a task which places us under an obligation and demands that we , as parliamentarians , accept our responsibilities and do not simply let things rest .","Das ist eine Aufgabe , die verpflichtet , und die uns als Parlamentarier herausfordert , unsere Verantwortung ernst zu nehmen und die Dinge nicht einfach auf sich beruhen zu lassen ."
887,The view expressed by Mr Burtone 's report is a view which worries me .,"Die Meinung , die im Bericht Burtone vertreten wird , ist Ausdruck einer Auffassung , die mich beunruhigt ."
888,It confirms that a re-evaluation is under way of the traditional policy on drugs which used to guide Europe and which was the lodestar internationally in work on and the battle against drugs .,"Sie bestätigt , daß eine Neubewertung der traditionellen Drogenpolitik im Gange ist , die in Europa früher maßgebend war und auch die Richtung der internationalen Arbeit und Bekämpfung von Drogen angab ."
889,It smacks of resignation and lack of enthusiasm .,Resignation und fehlender Enthusiasmus kennzeichnen diese Auffassung .
890,Its message is that the battle against drugs cannot be won - but this is not true .,"Sie teilt uns mit , daß Drogen nicht bekämpft werden können . Aber das ist falsch ."
891,We know that a restrictive drugs policy combined with a well-developed rehabilitation system produces results .,"Wir wissen , daß durch eine restriktive Drogenpolitik , kombiniert mit einer gut ausgebauten Rehabilitierung , Erfolge erzielt werden können ."
892,"We know that the fewer the young people who try drugs in the first place , the smaller the number who will become addicted .","Wir wissen : Je weniger Jugendliche überhaupt erst mit Drogen in Berührung kommen , um so weniger Jugendliche landen beim Mißbrauch ."
893,This is why preventive work is aimed at young people .,Deshalb sind die vorbeugenden Maßnahmen auf die Jugendlichen ausgerichtet .
894,It is by far the most important thing we can do .,Das ist unser absolut wichtigster Einsatz .
895,It is the most important way of reducing the number of addicts in the future .,"Das ist die wichtigste Art , auf die wir arbeiten können , um die Anzahl der Mißbraucher in Zukunft zu verringern ."
896,A policy which is geared only to reducing the damaging effects of drug abuse which is already taking place sends out completely the wrong signals and devotes resources to a completely wrong objective .,"Eine Politik , die nur darauf ausgerichtet ist , den Schaden eines bereits eingeleiteten Mißbrauchs zu begrenzen , sendet ganz einfach falsche Signale aus und setzt die Ressourcen gegen ein völlig falsches Ziel ein ."
897,The policy of harm reduction is a policy of negative accommodation .,"Die Politik der "" harm reduction "" ist die Politik der negativen Anpassung ."
898,It is a defeatist policy .,Es ist die Politik der Kraftlosigkeit .
899,If we are to be successful in combating drug abuse we cannot make distinctions between use and misuse .,"Wenn uns die Bekämpfung des Drogenmißbrauchs gelingen soll , können wir keine Unterschiede machen zwischen Gebrauch oder Mißbrauch ."
900,Nor can we make distinctions between soft and hard drugs .,Auch zwischen leichten und harten Drogen können wir keine Unterschiede machen .
901,There is always a risk - irrespective of what we choose to call it - an imminent risk that individuals will become addicted .,"Es besteht immer ein Risiko - egal , welche Bezeichnungen wir wählen - , daß das Individuum im Mißbrauch landet ."
902,I cannot therefore support the Burtone report and I hope that this house will be able to produce a more positive and more active policy on drugs .,"Deshalb kann ich den Bericht Burtone nicht unterstützen , und ich hoffe , daß dieses Parlament eine positivere und eine aktivere Politik zum Thema Drogen aufzuweisen hat ."
903,"Commissioner , ladies and gentlemen , I should like to begin by thanking Mr Burtone for his report .","Herr Kommissar , liebe Kolleginnen und Kollegen ! Zunächst herzlichen Dank , Herr Burtone , für Ihren Bericht ."
904,"It is alarming to see the sharp rise in demand for synthetic drugs , particularly Ecstasy , and the careless attitude that people take to these pep-pills , with no thought of the dangers involved .","Es ist erschreckend , wie hoch die Steigerungsrate bei der Nachfrage nach synthetischen Drogen und besonders Ecstasy ist und mit welcher Sorglosigkeit diesen Fitmacherdrogen begegnet wird , ohne die Gefährlichkeit dieser Stoffe zu bedenken ."
905,"Hopefully , effective addiction prevention measures will succeed in reducing the demand , as they have done in the case of heroin .","Es ist zu hoffen , daß mit einer wirkungsvollen Suchtprävention eine rückläufige Entwicklung der Nachfrage wie bei Heroin zu erreichen ist ."
906,"I should also like to voice my opposition to any liberalization of drugs , in order to counter the expectation of rising demand .","Des weiteren möchte auch ich mich gegen eine Liberalisierung von Drogen aussprechen , um der Erwartung einer wachsenden Nachfrage entgegenzuwirken ."
907,Europe is still seen as a lucrative market where there are profits to be made .,Europa gilt immer noch als lukrativer Absatzmarkt mit guten Gewinnchancen .
908,"At the same time , any tendency towards liberalization and legalization has the effect of playing down the dangers of illegal drugs and is the greatest obstacle to prevention .",Dazu beinhaltet jede Liberalisierungs- und Legalisierungstendenz die Verharmlosung illegaler Drogen und ist das größte Problem für den Erfolg der Prävention .
909,Reference is always made in these debates to the consequences of alcohol and nicotine abuse .,Bei diesen Debatten wird immer gleichzeitig auf die Folgen des Mißbrauchs von Alkohol und Nikotin hingewiesen .
910,"Not only should these problems be mentioned , but they should be seen as a clear warning , so that we do not end up with the same problems by making soft drugs freely available .","Man sollte nicht nur auf die Probleme hinweisen , sondern diese als deutliche Warnung nehmen , um nicht die gleichen Probleme bei der freien Verfügbarkeit von weichen Drogen zu erhalten ."
911,"As a practising pharmacist , I oppose any attempt to make hashish or marijuana available from chemists , since that would mean putting drugs on a par with medicines .","Als praktizierende Apothekerin widerspreche ich allen Versuchen , Haschisch oder Marihuana über Apotheken abzugeben , denn damit werden die Drogen auf die Ebene von Arznei- und Heilmitteln gestellt ."
912,"Instead , I would like to see new models and progress in the area of aid and therapy for drug users , including methadone substitution , though only in the context of therapeutic and psycho-social accompanying measures .","Dagegen befürworte ich neue Modelle und Fortschritte im Bereich der Drogenhilfe und der Therapie bis hin zu Methadonsubstitutionen , aber nur mit therapeutischen und psychosozialen Begleitmaßnahmen ."
913,"We need to offer improved and more specific counselling and treatment for those who are in danger from , or dependent on , drugs , and their families .",Das Beratungs- und Behandlungsangebot für Gefährdete und Abhängige sowie deren Angehörige muß ausgebaut und differenziert werden .
914,"Let us support the concept of living without drugs or addictive substances , and let us not trivialize these problems by engaging in a debate that blurs the issues .",Lassen Sie uns für ein Leben ohne Drogen und Suchtmittel eintreten und nicht durch verwirrende Debatten diese Probleme verharmlosen !
